order_id,invoice_no,gross_amount,tds_section_legacy,tds_code_new,tds_amount,gst_rate,vendor_pan_masked,posted_at
ord_00159,INV-10033,44700.83,,,0,18.00,PANNOTAVAIL,2026-02-05T00:00:00
ord_00180,INV-10034,39041.70,,,0,18.00,ABCP1034Z,2026-02-05T00:00:00
ord_00420,INV-10035,47672.77,,,0,18.00,ABCP1035Z,2026-02-05T00:00:00
ord_00434,INV-10036,11427.92,,,0,18.00,PANNOTAVAIL,2026-02-05T00:00:00
ord_00482,INV-10037,5661.38,,,0,18.00,ABCP1037Z,2026-02-05T00:00:00
ord_00515,INV-10038,12110.01,,,0,18.00,ABCP1038Z,2026-02-05T00:00:00
ord_00011,INV-10039,19045.68,,,0,18.00,PANNOTAVAIL,2026-02-06T00:00:00
ord_00330,INV-10040,40217.04,,,0,18.00,ABCP1040Z,2026-02-06T00:00:00
ord_00394,INV-10041,26702.81,,,0,18.00,ABCP1041Z,2026-02-06T00:00:00
ord_00412,INV-10042,33039.00,194I,,6607.80,18.00,PANNOTAVAIL,2026-02-06T00:00:00
ord_00436,INV-10043,42772.21,194I,,4277.22,18.00,ABCP1043Z,2026-02-06T00:00:00
ord_00468,INV-10044,719.40,,,0,18.00,ABCP1044Z,2026-02-06T00:00:00
ord_00008,INV-10045,47933.69,194A,,9586.74,18.00,PANNOTAVAIL,2026-02-07T00:00:00
ord_00038,INV-10046,18804.59,,,0,18.00,ABCP1046Z,2026-02-07T00:00:00
ord_00056,INV-10047,16489.48,,,0,18.00,ABCP1047Z,2026-02-07T00:00:00
ord_00478,INV-10048,47671.75,194I,,9534.35,18.00,PANNOTAVAIL,2026-02-07T00:00:00
ord_00337,INV-10049,5701.26,,,0,18.00,ABCP1049Z,2026-02-08T00:00:00
ord_00441,INV-10050,29935.40,194C,,299.35,18.00,ABCP1050Z,2026-02-08T00:00:00
ord_00489,INV-10051,25688.15,194C,,5137.63,18.00,PANNOTAVAIL,2026-02-08T00:00:00
ord_00517,INV-10052,30984.71,,,0,18.00,ABCP1052Z,2026-02-08T00:00:00
ord_00129,INV-10053,18341.71,194C,,183.42,18.00,ABCP1053Z,2026-02-09T00:00:00
ord_00176,INV-10054,21940.76,,,0,18.00,PANNOTAVAIL,2026-02-09T00:00:00
ord_00226,INV-10055,42998.24,,,0,18.00,ABCP1055Z,2026-02-09T00:00:00
ord_00263,INV-10056,17937.61,194H,,896.88,18.00,ABCP1056Z,2026-02-09T00:00:00
ord_00292,INV-10057,25695.12,,,0,18.00,PANNOTAVAIL,2026-02-09T00:00:00
ord_00356,INV-10058,22720.69,194H,,1136.03,18.00,ABCP1058Z,2026-02-09T00:00:00
ord_00084,INV-10059,18993.72,,,0,18.00,ABCP1059Z,2026-02-10T00:00:00
ord_00145,INV-10060,22777.14,194A,,4555.43,18.00,PANNOTAVAIL,2026-02-10T00:00:00
ord_00187,INV-10061,40315.99,,,0,18.00,ABCP1061Z,2026-02-10T00:00:00
ord_00202,INV-10062,3113.93,194A,,311.39,18.00,ABCP1062Z,2026-02-10T00:00:00
ord_00287,INV-10063,46763.24,,,0,18.00,PANNOTAVAIL,2026-02-10T00:00:00
ord_00320,INV-10064,14394.36,,,0,18.00,ABCP1064Z,2026-02-10T00:00:00
ord_00326,INV-10065,29983.17,194J,,2998.32,18.00,ABCP1065Z,2026-02-10T00:00:00
ord_00492,INV-10066,38457.38,,,0,18.00,PANNOTAVAIL,2026-02-10T00:00:00
ord_00007,INV-10067,46725.19,,,0,18.00,ABCP1067Z,2026-02-11T00:00:00
ord_00277,INV-10068,23234.87,,,0,18.00,ABCP1068Z,2026-02-11T00:00:00
ord_00433,INV-10069,37574.89,,,0,18.00,PANNOTAVAIL,2026-02-11T00:00:00
ord_00524,INV-10070,17696.09,,,0,18.00,ABCP1070Z,2026-02-12T00:00:00
ord_00548,INV-10071,34161.01,194J,,3416.10,18.00,ABCP1071Z,2026-02-12T00:00:00
ord_00592,INV-10072,48697.62,,,0,18.00,PANNOTAVAIL,2026-02-12T00:00:00
ord_00015,INV-10073,49288.15,,,0,18.00,ABCP1073Z,2026-02-13T00:00:00
ord_00055,INV-10074,40893.06,,,0,18.00,ABCP1074Z,2026-02-13T00:00:00
ord_00059,INV-10075,519.56,,,0,18.00,PANNOTAVAIL,2026-02-13T00:00:00
ord_00068,INV-10076,29242.37,,,0,18.00,ABCP1076Z,2026-02-13T00:00:00
ord_00247,INV-10077,4829.99,,,0,18.00,ABCP1077Z,2026-02-13T00:00:00
ord_00379,INV-10078,29834.93,194J,,5966.99,18.00,PANNOTAVAIL,2026-02-13T00:00:00
ord_00431,INV-10079,6130.48,,,0,18.00,ABCP1079Z,2026-02-13T00:00:00
ord_00513,INV-10080,14073.71,,,0,18.00,ABCP1080Z,2026-02-13T00:00:00
ord_00571,INV-10081,9464.88,194I,,1892.98,18.00,PANNOTAVAIL,2026-02-13T00:00:00
ord_00058,INV-10082,29025.76,,,0,18.00,ABCP1082Z,2026-02-14T00:00:00
ord_00400,INV-10083,8090.68,,,0,18.00,ABCP1083Z,2026-02-14T00:00:00
ord_00521,INV-10084,3340.43,,,0,18.00,PANNOTAVAIL,2026-02-14T00:00:00
ord_00065,INV-10085,10176.55,,,0,18.00,ABCP1085Z,2026-02-15T00:00:00
ord_00262,INV-10086,14536.86,,,0,18.00,ABCP1086Z,2026-02-15T00:00:00
ord_00374,INV-10087,4727.11,,,0,18.00,PANNOTAVAIL,2026-02-15T00:00:00
ord_00039,INV-10088,21271.43,,,0,18.00,ABCP1088Z,2026-02-16T00:00:00
ord_00052,INV-10089,43742.55,194I,,4374.26,18.00,ABCP1089Z,2026-02-16T00:00:00
ord_00276,INV-10090,42727.89,,,0,18.00,PANNOTAVAIL,2026-02-16T00:00:00
ord_00280,INV-10091,3204.78,194A,,320.48,18.00,ABCP1091Z,2026-02-16T00:00:00
ord_00290,INV-10092,21622.00,194I,,2162.20,18.00,ABCP1092Z,2026-02-16T00:00:00
ord_00466,INV-10093,41469.50,,,0,18.00,PANNOTAVAIL,2026-02-16T00:00:00
ord_00554,INV-10094,45089.19,194H,,2254.46,18.00,ABCP1094Z,2026-02-16T00:00:00
ord_00560,INV-10095,28522.45,,,0,18.00,ABCP1095Z,2026-02-16T00:00:00
ord_00203,INV-10096,30758.33,,,0,18.00,PANNOTAVAIL,2026-02-17T00:00:00
ord_00050,INV-10097,35643.77,194H,,1782.19,18.00,ABCP1097Z,2026-02-18T00:00:00
ord_00071,INV-10098,46064.60,,,0,18.00,ABCP1098Z,2026-02-18T00:00:00
ord_00381,INV-10099,4204.95,,,0,18.00,PANNOTAVAIL,2026-02-18T00:00:00
ord_00406,INV-10100,29687.73,,,0,18.00,ABCP1100Z,2026-02-18T00:00:00
ord_00486,INV-10101,35159.90,,,0,18.00,ABCP1101Z,2026-02-18T00:00:00
ord_00514,INV-10102,2910.26,,,0,18.00,PANNOTAVAIL,2026-02-18T00:00:00
ord_00046,INV-10103,7461.26,,,0,18.00,ABCP1103Z,2026-02-19T00:00:00
ord_00047,INV-10104,19957.95,,,0,18.00,ABCP1104Z,2026-02-19T00:00:00
ord_00063,INV-10105,21660.91,194H,,4332.18,18.00,PANNOTAVAIL,2026-02-19T00:00:00
ord_00096,INV-10106,39536.71,,,0,18.00,ABCP1106Z,2026-02-19T00:00:00
ord_00098,INV-10107,46524.94,194C,,465.25,18.00,ABCP1107Z,2026-02-19T00:00:00
ord_00149,INV-10108,45513.17,,,0,18.00,PANNOTAVAIL,2026-02-19T00:00:00
ord_00366,INV-10109,24101.69,194H,,1205.08,18.00,ABCP1109Z,2026-02-19T00:00:00
ord_00419,INV-10110,21224.80,,,0,18.00,ABCP1110Z,2026-02-19T00:00:00
ord_00177,INV-10111,5147.38,,,0,18.00,PANNOTAVAIL,2026-02-20T00:00:00
ord_00181,INV-10112,23068.43,194A,,2306.84,18.00,ABCP1112Z,2026-02-20T00:00:00
ord_00355,INV-10113,36281.96,,,0,18.00,ABCP1113Z,2026-02-20T00:00:00
ord_00407,INV-10114,44217.97,194H,,8843.59,18.00,PANNOTAVAIL,2026-02-20T00:00:00
ord_00442,INV-10115,27665.58,,,0,18.00,ABCP1115Z,2026-02-20T00:00:00
ord_00448,INV-10116,23836.95,,,0,18.00,ABCP1116Z,2026-02-20T00:00:00
ord_00473,INV-10117,11803.54,,,0,18.00,PANNOTAVAIL,2026-02-20T00:00:00
ord_00484,INV-10118,5397.20,194A,,539.72,18.00,ABCP1118Z,2026-02-20T00:00:00
ord_00565,INV-10119,20314.98,,,0,18.00,ABCP1119Z,2026-02-20T00:00:00
ord_00591,INV-10120,17261.40,194C,,3452.28,18.00,PANNOTAVAIL,2026-02-20T00:00:00
ord_00037,INV-10121,10322.70,,,0,18.00,ABCP1121Z,2026-02-21T00:00:00
ord_00041,INV-10122,38180.57,,,0,18.00,ABCP1122Z,2026-02-21T00:00:00
ord_00095,INV-10123,11156.75,,,0,18.00,PANNOTAVAIL,2026-02-21T00:00:00
ord_00257,INV-10124,40109.67,,,0,18.00,ABCP1124Z,2026-02-21T00:00:00
ord_00500,INV-10125,22341.30,,,0,18.00,ABCP1125Z,2026-02-21T00:00:00
ord_00536,INV-10126,37079.15,194C,,7415.83,18.00,PANNOTAVAIL,2026-02-21T00:00:00
ord_00558,INV-10127,39352.43,194H,,1967.62,18.00,ABCP1127Z,2026-02-21T00:00:00
ord_00567,INV-10128,9026.01,,,0,18.00,ABCP1128Z,2026-02-21T00:00:00
ord_00113,INV-10129,12374.82,,,0,18.00,PANNOTAVAIL,2026-02-22T00:00:00
ord_00318,INV-10130,33494.21,,,0,18.00,ABCP1130Z,2026-02-23T00:00:00
ord_00365,INV-10131,21080.63,,,0,18.00,ABCP1131Z,2026-02-23T00:00:00
ord_00250,INV-10132,31818.80,,,0,18.00,PANNOTAVAIL,2026-02-24T00:00:00
ord_00321,INV-10133,16061.89,,,0,18.00,ABCP1133Z,2026-02-24T00:00:00
ord_00332,INV-10134,27621.14,,,0,18.00,ABCP1134Z,2026-02-24T00:00:00
ord_00338,INV-10135,5772.38,,,0,18.00,PANNOTAVAIL,2026-02-24T00:00:00
ord_00439,INV-10136,11540.87,,,0,18.00,ABCP1136Z,2026-02-24T00:00:00
ord_00566,INV-10137,22200.33,,,0,18.00,ABCP1137Z,2026-02-24T00:00:00
ord_00162,INV-10138,26671.81,194H,,5334.36,18.00,PANNOTAVAIL,2026-02-25T00:00:00
ord_00364,INV-10139,37359.35,,,0,18.00,ABCP1139Z,2026-02-25T00:00:00
ord_00447,INV-10140,15775.35,194J,,1577.54,18.00,ABCP1140Z,2026-02-25T00:00:00
ord_00057,INV-10141,37462.46,,,0,18.00,PANNOTAVAIL,2026-02-26T00:00:00
ord_00070,INV-10142,44813.44,,,0,18.00,ABCP1142Z,2026-02-26T00:00:00
ord_00308,INV-10143,42081.96,194C,,420.82,18.00,ABCP1143Z,2026-02-26T00:00:00
ord_00357,INV-10144,8588.51,,,0,18.00,PANNOTAVAIL,2026-02-26T00:00:00
ord_00386,INV-10145,3139.60,,,0,18.00,ABCP1145Z,2026-02-26T00:00:00
ord_00445,INV-10146,22550.93,,,0,18.00,ABCP1146Z,2026-02-26T00:00:00
ord_00472,INV-10147,31221.97,,,0,18.00,PANNOTAVAIL,2026-02-26T00:00:00
ord_00551,INV-10148,25929.31,194I,,2597.93,18.00,ABCP1148Z,2026-02-26T00:00:00
ord_00572,INV-10149,33076.42,194C,,330.76,18.00,ABCP1149Z,2026-02-26T00:00:00
ord_00185,INV-10150,30412.42,,,0,18.00,PANNOTAVAIL,2026-02-27T00:00:00
ord_00316,INV-10151,2482.12,,,0,18.00,ABCP1151Z,2026-02-27T00:00:00
ord_00009,INV-10152,49405.32,,,0,18.00,ABCP1152Z,2026-02-28T00:00:00
ord_00133,INV-10153,8395.81,,,0,18.00,PANNOTAVAIL,2026-02-28T00:00:00
ord_00285,INV-10154,13450.19,194A,,1345.02,18.00,ABCP1154Z,2026-02-28T00:00:00
ord_00463,INV-10155,13029.62,,,0,18.00,ABCP1155Z,2026-02-28T00:00:00
ord_00493,INV-10156,9331.66,,,0,18.00,PANNOTAVAIL,2026-02-28T00:00:00
ord_00085,INV-10157,39933.16,,,0,18.00,ABCP1157Z,2026-03-01T00:00:00
ord_00233,INV-10158,42265.86,,,0,18.00,ABCP1158Z,2026-03-01T00:00:00
ord_00359,INV-10159,11651.07,,,0,18.00,PANNOTAVAIL,2026-03-01T00:00:00
ord_00494,INV-10160,3756.25,,,0,18.00,ABCP1160Z,2026-03-01T00:00:00
ord_00211,INV-10161,17714.89,194H,,885.74,18.00,ABCP1161Z,2026-03-02T00:00:00
ord_00117,INV-10162,16547.92,,,0,18.00,PANNOTAVAIL,2026-03-03T00:00:00
ord_00184,INV-10163,3389.60,,,0,18.00,ABCP1163Z,2026-03-03T00:00:00
ord_00267,INV-10164,8109.68,,,0,18.00,ABCP1164Z,2026-03-03T00:00:00
ord_00481,INV-10165,14349.52,194H,,2869.90,18.00,PANNOTAVAIL,2026-03-03T00:00:00
ord_00520,INV-10166,17757.33,,,0,18.00,ABCP1166Z,2026-03-03T00:00:00
ord_00584,INV-10167,34065.50,194H,,1703.28,18.00,ABCP1167Z,2026-03-03T00:00:00
ord_00132,INV-10168,12013.75,194J,,2402.75,18.00,PANNOTAVAIL,2026-03-04T00:00:00
ord_00166,INV-10169,3599.53,,,0,18.00,ABCP1169Z,2026-03-04T00:00:00
ord_00217,INV-10170,26036.36,,,0,18.00,ABCP1170Z,2026-03-04T00:00:00
ord_00259,INV-10171,22324.56,194C,,4464.91,18.00,PANNOTAVAIL,2026-03-04T00:00:00
ord_00302,INV-10172,19612.64,,,0,18.00,ABCP1172Z,2026-03-04T00:00:00
ord_00368,INV-10173,21131.71,,,0,18.00,ABCP1173Z,2026-03-04T00:00:00
ord_00382,INV-10174,3707.46,194C,,741.49,18.00,PANNOTAVAIL,2026-03-04T00:00:00
ord_00444,INV-10175,42629.09,194C,,426.29,18.00,ABCP1175Z,2026-03-04T00:00:00
ord_00454,INV-10176,45437.87,194A,,4543.79,18.00,ABCP1176Z,2026-03-04T00:00:00
ord_00527,INV-10177,24205.63,194J,,4841.13,18.00,PANNOTAVAIL,2026-03-04T00:00:00
ord_00585,INV-10178,36032.45,,,0,18.00,ABCP1178Z,2026-03-04T00:00:00
ord_00049,INV-10179,24150.06,,,0,18.00,ABCP1179Z,2026-03-05T00:00:00
ord_00082,INV-10180,16744.11,,,0,18.00,PANNOTAVAIL,2026-03-05T00:00:00
ord_00105,INV-10181,46163.61,,,0,18.00,ABCP1181Z,2026-03-05T00:00:00
ord_00156,INV-10182,10707.05,194C,,107.07,18.00,ABCP1182Z,2026-03-05T00:00:00
ord_00161,INV-10183,4726.15,194A,,945.23,18.00,PANNOTAVAIL,2026-03-05T00:00:00
ord_00190,INV-10184,8029.06,,,0,18.00,ABCP1184Z,2026-03-05T00:00:00
ord_00270,INV-10185,48282.99,,,0,18.00,ABCP1185Z,2026-03-05T00:00:00
ord_00526,INV-10186,2254.76,,,0,18.00,PANNOTAVAIL,2026-03-05T00:00:00
ord_00583,INV-10187,8709.66,194C,,87.10,18.00,ABCP1187Z,2026-03-05T00:00:00
ord_00165,INV-10188,29608.55,,,0,18.00,ABCP1188Z,2026-03-06T00:00:00
ord_00227,INV-10189,32951.19,194C,,6590.24,18.00,PANNOTAVAIL,2026-03-06T00:00:00
ord_00249,INV-10190,37094.52,,,0,18.00,ABCP1190Z,2026-03-06T00:00:00
ord_00496,INV-10191,46955.08,,,0,18.00,ABCP1191Z,2026-03-06T00:00:00
ord_00562,INV-10192,25792.29,,,0,18.00,PANNOTAVAIL,2026-03-06T00:00:00
ord_00151,INV-10193,5325.67,,,0,18.00,ABCP1193Z,2026-03-07T00:00:00
ord_00275,INV-10194,48674.16,,,0,18.00,ABCP1194Z,2026-03-07T00:00:00
ord_00296,INV-10195,27037.95,,,0,18.00,PANNOTAVAIL,2026-03-07T00:00:00
ord_00362,INV-10196,48053.69,,,0,18.00,ABCP1196Z,2026-03-07T00:00:00
ord_00025,INV-10197,6640.53,,,0,18.00,ABCP1197Z,2026-03-08T00:00:00
ord_00035,INV-10198,32862.53,,,0,18.00,PANNOTAVAIL,2026-03-08T00:00:00
ord_00197,INV-10199,12642.69,,,0,18.00,ABCP1199Z,2026-03-08T00:00:00
ord_00393,INV-10200,26303.00,,,0,18.00,ABCP1200Z,2026-03-08T00:00:00
ord_00440,INV-10201,14350.55,,,0,18.00,PANNOTAVAIL,2026-03-08T00:00:00
ord_00103,INV-10202,42540.50,,,0,18.00,ABCP1202Z,2026-03-09T00:00:00
ord_00221,INV-10203,43830.15,194C,,438.30,18.00,ABCP1203Z,2026-03-09T00:00:00
ord_00498,INV-10204,18702.90,,,0,18.00,PANNOTAVAIL,2026-03-09T00:00:00
ord_00021,INV-10205,21339.53,,,0,18.00,ABCP1205Z,2026-03-10T00:00:00
ord_00193,INV-10206,20029.48,,,0,18.00,ABCP1206Z,2026-03-10T00:00:00
ord_00342,INV-10207,816.38,,,0,18.00,PANNOTAVAIL,2026-03-10T00:00:00
ord_00410,INV-10208,11124.20,,,0,18.00,ABCP1208Z,2026-03-10T00:00:00
ord_00469,INV-10209,9422.34,,,0,18.00,ABCP1209Z,2026-03-10T00:00:00
ord_00067,INV-10210,7704.52,,,0,18.00,PANNOTAVAIL,2026-03-11T00:00:00
ord_00224,INV-10211,7701.97,,,0,18.00,ABCP1211Z,2026-03-11T00:00:00
ord_00309,INV-10212,16768.30,,,0,18.00,ABCP1212Z,2026-03-11T00:00:00
ord_00461,INV-10213,49646.36,194C,,9929.27,18.00,PANNOTAVAIL,2026-03-11T00:00:00
ord_00238,INV-10214,10642.61,,,0,18.00,ABCP1214Z,2026-03-12T00:00:00
ord_00269,INV-10215,20559.39,,,0,18.00,ABCP1215Z,2026-03-12T00:00:00
ord_00446,INV-10216,31728.01,,,0,18.00,PANNOTAVAIL,2026-03-12T00:00:00
ord_00525,INV-10217,28728.99,,,0,18.00,ABCP1217Z,2026-03-12T00:00:00
ord_00000,INV-10218,13154.14,,,0,18.00,ABCP1218Z,2026-03-13T00:00:00
ord_00115,INV-10219,43982.24,,,0,18.00,PANNOTAVAIL,2026-03-13T00:00:00
ord_00367,INV-10220,5936.16,194J,,593.62,18.00,ABCP1220Z,2026-03-13T00:00:00
ord_00142,INV-10221,43905.49,,,0,18.00,ABCP1221Z,2026-03-14T00:00:00
ord_00183,INV-10222,46391.84,,,0,18.00,PANNOTAVAIL,2026-03-14T00:00:00
ord_00495,INV-10223,22587.08,,,0,18.00,ABCP1223Z,2026-03-14T00:00:00
ord_00030,INV-10224,29875.09,,,0,18.00,ABCP1224Z,2026-03-15T00:00:00
ord_00086,INV-10225,17644.08,,,0,18.00,PANNOTAVAIL,2026-03-15T00:00:00
ord_00137,INV-10226,35839.23,,,0,18.00,ABCP1226Z,2026-03-15T00:00:00
ord_00140,INV-10227,46977.10,,,0,18.00,ABCP1227Z,2026-03-15T00:00:00
ord_00173,INV-10228,17161.82,,,0,18.00,PANNOTAVAIL,2026-03-15T00:00:00
ord_00258,INV-10229,24134.57,,,0,18.00,ABCP1229Z,2026-03-15T00:00:00
ord_00268,INV-10230,47130.09,194C,,471.30,18.00,ABCP1230Z,2026-03-15T00:00:00
ord_00533,INV-10231,39837.67,,,0,18.00,PANNOTAVAIL,2026-03-16T00:00:00
ord_00539,INV-10232,41673.21,194J,,4167.32,18.00,ABCP1232Z,2026-03-16T00:00:00
ord_00555,INV-10233,49286.55,,,0,18.00,ABCP1233Z,2026-03-16T00:00:00
ord_00075,INV-10234,19189.21,,,0,18.00,PANNOTAVAIL,2026-03-17T00:00:00
ord_00138,INV-10235,27219.86,,,0,18.00,ABCP1235Z,2026-03-17T00:00:00
ord_00432,INV-10236,36621.26,194J,,3662.13,18.00,ABCP1236Z,2026-03-17T00:00:00
ord_00003,INV-10237,49387.80,,,0,18.00,PANNOTAVAIL,2026-03-18T00:00:00
ord_00231,INV-10238,11623.71,,,0,18.00,ABCP1238Z,2026-03-18T00:00:00
ord_00245,INV-10239,36407.66,,,0,18.00,ABCP1239Z,2026-03-18T00:00:00
ord_00339,INV-10240,23343.40,194A,,4668.68,18.00,PANNOTAVAIL,2026-03-18T00:00:00
ord_00351,INV-10241,7128.24,,,0,18.00,ABCP1241Z,2026-03-18T00:00:00
ord_00457,INV-10242,28251.93,,,0,18.00,ABCP1242Z,2026-03-18T00:00:00
ord_00016,INV-10243,8673.06,,,0,18.00,PANNOTAVAIL,2026-03-19T00:00:00
ord_00243,INV-10244,5950.69,194A,,595.07,18.00,ABCP1244Z,2026-03-19T00:00:00
ord_00331,INV-10245,45926.74,,,0,18.00,ABCP1245Z,2026-03-19T00:00:00
ord_00363,INV-10246,21811.80,,,0,18.00,PANNOTAVAIL,2026-03-19T00:00:00
ord_00204,INV-10247,38365.01,,,0,18.00,ABCP1247Z,2026-03-20T00:00:00
ord_00273,INV-10248,23169.36,,,0,18.00,ABCP1248Z,2026-03-20T00:00:00
ord_00328,INV-10249,30416.22,,,0,18.00,PANNOTAVAIL,2026-03-20T00:00:00
ord_00336,INV-10250,3423.79,,,0,18.00,ABCP1250Z,2026-03-20T00:00:00
ord_00456,INV-10251,31449.30,194H,,1572.47,18.00,ABCP1251Z,2026-03-20T00:00:00
ord_00491,INV-10252,37128.64,,,0,18.00,PANNOTAVAIL,2026-03-20T00:00:00
ord_00553,INV-10253,20093.73,194I,,2009.37,18.00,ABCP1253Z,2026-03-20T00:00:00
ord_00244,INV-10254,49923.72,,,0,18.00,ABCP1254Z,2026-03-21T00:00:00
ord_00272,INV-10255,35219.07,194H,,7043.81,18.00,PANNOTAVAIL,2026-03-21T00:00:00
ord_00278,INV-10256,34034.05,,,0,18.00,ABCP1256Z,2026-03-21T00:00:00
ord_00293,INV-10257,22384.35,194I,,2238.44,18.00,ABCP1257Z,2026-03-21T00:00:00
ord_00409,INV-10258,41646.93,,,0,18.00,PANNOTAVAIL,2026-03-21T00:00:00
ord_00418,INV-10259,30632.52,194A,,3063.25,18.00,ABCP1259Z,2026-03-21T00:00:00
ord_00422,INV-10260,38729.69,,,0,18.00,ABCP1260Z,2026-03-21T00:00:00
ord_00425,INV-10261,31323.94,194A,,6264.79,18.00,PANNOTAVAIL,2026-03-21T00:00:00
ord_00568,INV-10262,13163.45,,,0,18.00,ABCP1262Z,2026-03-21T00:00:00
ord_00040,INV-10263,42150.00,,,0,18.00,ABCP1263Z,2026-03-22T00:00:00
ord_00054,INV-10264,33968.77,194J,,6793.75,18.00,PANNOTAVAIL,2026-03-22T00:00:00
ord_00192,INV-10265,2386.94,194J,,238.69,18.00,ABCP1265Z,2026-03-22T00:00:00
ord_00234,INV-10266,2583.26,,,0,18.00,ABCP1266Z,2026-03-22T00:00:00
ord_00352,INV-10267,13916.52,194A,,2783.30,18.00,PANNOTAVAIL,2026-03-22T00:00:00
ord_00397,INV-10268,34471.63,,,0,18.00,ABCP1268Z,2026-03-22T00:00:00
ord_00094,INV-10269,7623.54,,,0,18.00,ABCP1269Z,2026-03-23T00:00:00
ord_00174,INV-10270,29654.78,,,0,18.00,PANNOTAVAIL,2026-03-23T00:00:00
ord_00191,INV-10271,49724.41,194C,,497.24,18.00,ABCP1271Z,2026-03-23T00:00:00
ord_00236,INV-10272,25829.48,,,0,18.00,ABCP1272Z,2026-03-23T00:00:00
ord_00417,INV-10273,43943.97,,,0,18.00,PANNOTAVAIL,2026-03-23T00:00:00
ord_00477,INV-10274,22666.04,,,0,18.00,ABCP1274Z,2026-03-23T00:00:00
ord_00483,INV-10275,16074.11,,,0,18.00,ABCP1275Z,2026-03-23T00:00:00
ord_00299,INV-10276,26286.39,,,0,18.00,PANNOTAVAIL,2026-03-24T00:00:00
ord_00353,INV-10277,5930.19,194I,,593.02,18.00,ABCP1277Z,2026-03-24T00:00:00
ord_00384,INV-10278,31689.62,,,0,18.00,ABCP1278Z,2026-03-24T00:00:00
ord_00388,INV-10279,9005.02,,,0,18.00,PANNOTAVAIL,2026-03-24T00:00:00
ord_00006,INV-10280,6359.89,,,0,18.00,ABCP1280Z,2026-03-25T00:00:00
ord_00013,INV-10281,12600.99,194C,,126.01,18.00,ABCP1281Z,2026-03-25T00:00:00
ord_00126,INV-10282,10702.38,194A,,2140.48,18.00,PANNOTAVAIL,2026-03-25T00:00:00
